date,gdp_growth,vacancies_growth_base,cpih_inflation_base,unemp_change_pred_base,vacancies_growth_policy,cpih_inflation_policy,unemp_change_pred_policy
2016-07-01,0.43715846994536456,1.1538461538461497,12.5,-2.978117034153091,1.1538461538461497,12.5,-2.978117034153091
2016-08-01,0.0,1.520912547528508,11.111111111111116,-2.3965235467245725,1.520912547528508,11.111111111111116,-2.3965235467245725
2016-09-01,0.0,0.8739076154806513,30.000000000000004,-3.1040386901575063,0.8739076154806513,30.000000000000004,-3.1040386901575063
2016-10-01,0.6528835690968293,0.7425742574257432,0.0,-1.8320226985659842,0.7425742574257432,0.0,-1.8320226985659842
2016-11-01,0.0,0.7371007371007376,15.384615384615374,-1.6784722814273336,0.7371007371007376,15.384615384615374,-1.6784722814273336
2016-12-01,0.0,-8.536585365853655,19.999999999999996,10.706267312630645,-8.536585365853655,19.999999999999996,10.706267312630645
2017-01-01,0.540540540540535,9.466666666666669,0.0,-13.601108656457118,9.466666666666669,0.0,-13.601108656457118
2017-02-01,0.0,0.8526187576126665,27.777777777777768,-2.8866138944139497,0.8526187576126665,27.777777777777768,-2.8866138944139497
2017-03-01,0.0,0.9661835748792313,0.0,-0.6918438791054657,0.9661835748792313,0.0,-0.6918438791054657
2017-04-01,0.8602150537634357,1.0765550239234534,13.043478260869579,-3.8560646068020112,1.0765550239234534,13.043478260869579,-3.8560646068020112
2017-05-01,0.0,0.946745562130169,11.538461538461542,-1.6417253237186695,0.946745562130169,11.538461538461542,-1.6417253237186695
2017-06-01,0.0,1.0550996483001063,-10.344827586206895,0.06129107935865461,1.0550996483001063,-10.344827586206895,0.06129107935865461
2017-07-01,0.5330490405117239,1.1600928074245953,0.0,-2.141378826651468,1.1600928074245953,0.0,-2.141378826651468
2017-08-01,0.0,1.1467889908256979,3.8461538461538547,-1.2661984450657606,1.1467889908256979,3.8461538461538547,-1.2661984450657606
2017-09-01,0.0,1.133786848072571,11.111111111111093,-1.863220297873793,1.133786848072571,11.111111111111093,-1.863220297873793
2017-10-01,0.6362672322375529,1.2331838565022402,0.0,-2.471026811960326,1.2331838565022402,0.0,-2.471026811960326
